Issue_Date,Total Fine
2022-01-01,88930
2022-01-02,135365
2022-01-03,82210
2022-01-04,248770
2022-01-05,229880
2022-01-06,218825
2022-01-07,232980
2022-01-08,205100
2022-01-09,152200
2022-01-10,251055
2022-01-11,248695
2022-01-12,274255
2022-01-13,256920
2022-01-14,253700
2022-01-15,170150
2022-01-16,156570
2022-01-17,16100
2022-01-18,79220
2022-01-19,170705
2022-01-20,209535
2022-01-21,214805
2022-01-22,165805
2022-01-23,136665
2022-01-24,196175
2022-01-25,215590
2022-01-26,216685
2022-01-27,220145
2022-01-28,221895
2022-01-29,164055
2022-01-30,143370
2022-01-31,254175
2022-02-01,243815
2022-02-02,214770
2022-02-03,183555
2022-02-04,155325
2022-02-05,117500
2022-02-06,75720
2022-02-07,204275
2022-02-08,233320
2022-02-09,196140
2022-02-10,153980
2022-02-11,140075
2022-02-12,114630
2022-02-13,108640
2022-02-14,219935
2022-02-15,238900
2022-02-16,254675
2022-02-17,193675
2022-02-18,129200
2022-02-19,104840
2022-02-20,100245
2022-02-21,100410
2022-02-22,230080
2022-02-23,256050
2022-02-24,258765
2022-02-25,195775
2022-02-26,173100
2022-02-27,152360
2022-02-28,262915
2022-03-01,268150
2022-03-02,275220
2022-03-03,298300
2022-03-04,334795
2022-03-05,241140
2022-03-06,193845
2022-03-07,271770
2022-03-08,319305
2022-03-09,331340
2022-03-10,327665
2022-03-11,285885
2022-03-12,236090
2022-03-13,213150
2022-03-14,286340
2022-03-15,275890
2022-03-16,299930
2022-03-17,298645
2022-03-18,312530
2022-03-19,236490
2022-03-20,197355
2022-03-21,318945
2022-03-22,332000
2022-03-23,297830
2022-03-24,306925
2022-03-25,312610
2022-03-26,255410
2022-03-27,187435
2022-03-28,287455
2022-03-29,312240
2022-03-30,309855
2022-03-31,309390
2022-04-01,342865
2022-04-02,248900
2022-04-03,202360
2022-04-04,327545
2022-04-05,336480
2022-04-06,347995
2022-04-07,320065
2022-04-08,343640
2022-04-09,275275
2022-04-10,187155
2022-04-11,303165
2022-04-12,304195
2022-04-13,297890
2022-04-14,299435
2022-04-15,134090
2022-04-16,288700
2022-04-17,115625
2022-04-18,127650
2022-04-19,312280
2022-04-20,290475
2022-04-21,286640
2022-04-22,316750
2022-04-23,237620
2022-04-24,196880
2022-04-25,291070
2022-04-26,315070
2022-04-27,316240
2022-04-28,299065
2022-04-29,325340
2022-04-30,231040
2022-05-01,181170
2022-05-02,260865
2022-05-03,290440
2022-05-04,305075
2022-05-05,319795
2022-05-06,322665
2022-05-07,249355
2022-05-08,244990
2022-05-09,309810
2022-05-10,339690
2022-05-11,305825
2022-05-12,287585
2022-05-13,322120
2022-05-14,238005
2022-05-15,217355
2022-05-16,297820
2022-05-17,302040
2022-05-18,316125
2022-05-19,311450
2022-05-20,299340
2022-05-21,237655
2022-05-22,209015
2022-05-23,137960
2022-05-24,300685
2022-05-25,317620
2022-05-26,302155
2022-05-27,307775
2022-05-28,262685
2022-05-29,241280
2022-05-30,292030
2022-05-31,305485
2022-06-01,347070
2022-06-02,286295
2022-06-03,314875
2022-06-04,267355
2022-06-05,205670
2022-06-06,283445
2022-06-07,259090
2022-06-08,335175
2022-06-09,313650
2022-06-10,319795
2022-06-11,253290
2022-06-12,212955
2022-06-13,321735
2022-06-14,347980
2022-06-15,341705
2022-06-16,321055
2022-06-17,321675
2022-06-18,304495
2022-06-19,203225
2022-06-20,284985
2022-06-21,273115
2022-06-22,291575
2022-06-23,283875
2022-06-24,297690
2022-06-25,277110
2022-06-26,226370
2022-06-27,416405
2022-06-28,405495
2022-06-29,373090
2022-06-30,365925
2022-07-01,158385
2022-07-02,276060
2022-07-03,211590
2022-07-04,344245
2022-07-05,323990
2022-07-06,332955
2022-07-07,349105
2022-07-08,330370
2022-07-09,289855
2022-07-10,277155
2022-07-11,303545
2022-07-12,352325
2022-07-13,362255
2022-07-14,338880
2022-07-15,345815
2022-07-16,274650
2022-07-17,229250
2022-07-18,348940
2022-07-19,385565
2022-07-20,348260
2022-07-21,377015
2022-07-22,360830
2022-07-23,257500
2022-07-24,181335
2022-07-25,347410
2022-07-26,359130
2022-07-27,342850
2022-07-28,305990
2022-07-29,330090
2022-07-30,268170
2022-07-31,252270
2022-08-01,189675
2022-08-02,347735
2022-08-03,316955
2022-08-04,318750
2022-08-05,319800
2022-08-06,241890
2022-08-07,217660
2022-08-08,307050
2022-08-09,340150
2022-08-10,322585
2022-08-11,324485
2022-08-12,348970
2022-08-13,278765
2022-08-14,210910
2022-08-15,297880
2022-08-16,338635
2022-08-17,328115
2022-08-18,301530
2022-08-19,318540
2022-08-20,264780
2022-08-21,187335
2022-08-22,265935
2022-08-23,319120
2022-08-24,318415
2022-08-25,288025
2022-08-26,317285
2022-08-27,228500
2022-08-28,162330
2022-08-29,299330
2022-08-30,314695
2022-08-31,327065
2022-09-01,297955
2022-09-02,317530
2022-09-03,213195
2022-09-04,197370
2022-09-05,122130
2022-09-06,329585
2022-09-07,304200
2022-09-08,307785
2022-09-09,342190
2022-09-10,270120
2022-09-11,213675
2022-09-12,316555
2022-09-13,344640
2022-09-14,344605
2022-09-15,320570
2022-09-16,335740
2022-09-17,227380
2022-09-18,179375
2022-09-19,317195
2022-09-20,353530
2022-09-21,274180
2022-09-22,367010
2022-09-23,330185
2022-09-24,229540
2022-09-25,166530
2022-09-26,321930
2022-09-27,343480
2022-09-28,325815
2022-09-29,308305
2022-09-30,343685
2022-10-01,254005
2022-10-02,168225
2022-10-03,339620
2022-10-04,341180
2022-10-05,331250
2022-10-06,305155
2022-10-07,315955
2022-10-08,201045
2022-10-09,162095
2022-10-10,85100
2022-10-11,320690
2022-10-12,326315
2022-10-13,326105
2022-10-14,355870
2022-10-15,250745
2022-10-16,179515
2022-10-17,321415
2022-10-18,327330
2022-10-19,334180
2022-10-20,327835
2022-10-21,361220
2022-10-22,245635
2022-10-23,186040
2022-10-24,300120
2022-10-25,366480
2022-10-26,314070
2022-10-27,335410
2022-10-28,345240
2022-10-29,228055
2022-10-30,196810
2022-10-31,297890
2022-11-01,333520
2022-11-02,313255
2022-11-03,294580
2022-11-04,332465
2022-11-05,226280
2022-11-06,202750
2022-11-07,317505
2022-11-08,310895
2022-11-09,304120
2022-11-10,279635
2022-11-11,296920
2022-11-12,242250
2022-11-13,186780
2022-11-14,301755
2022-11-15,270120
2022-11-16,261940
2022-11-17,286955
2022-11-18,315265
2022-11-19,188090
2022-11-20,151395
2022-11-21,295295
2022-11-22,311000
2022-11-23,309340
2022-11-24,290345
2022-11-25,284325
2022-11-26,239495
2022-11-27,166340
2022-11-28,274115
2022-11-29,289540
2022-11-30,241370
2022-12-01,290390
2022-12-02,309205
2022-12-03,232280
2022-12-04,176690
2022-12-05,277895
2022-12-06,296250
2022-12-07,328650
2022-12-08,271755
2022-12-09,293200
2022-12-10,188770
2022-12-11,151520
2022-12-12,282630
2022-12-13,302730
2022-12-14,251385
2022-12-15,183410
2022-12-16,228020
2022-12-17,219485
2022-12-18,173560
2022-12-19,234180
2022-12-20,279845
2022-12-21,256675
2022-12-22,216650
2022-12-23,130460
2022-12-24,76980
2022-12-25,44080
2022-12-26,88120
2022-12-27,111980
2022-12-28,251280
2022-12-29,251775
2022-12-30,250470
2022-12-31,143670
